"EN OSTEMAD",1,1,"Den er gammel (yrf!)"
"EN RADAR",1,21,"Den viser omridset af en planet."
"EN NAVIGATIONSCOMPUTER",1,21,"Den skal BRUGES, n†r man skal kobles til moderskibet."
"ET LANDINGS KONTROLPANEL",1,21,"Det bruges sjovt nok til landing."
"EN DATABASE",2,21,"Der kan s›ges i den efter planet-data."
"ET FJERNSYN",3,21,"Det er slukket."
"ET LOFTSVINDUE",3,21,"Du kan se stjernerne."
"EN BOG",3,2,"Den hedder 'Fremmede civilisationers sprog.' I den st†r der en masse om, hvordanman tyder fremmede sprog, men det er for indviklet at forklare her. Dog er bogenda rar at have ved h†nden!"
"EN LASERPISTOL",5,2,"Tja, det er en pistol af m‘rket 5000 MegaWatt Gunman."
"ET REB",5,2,"Det er 15 meter langt."
"TOM DENVER",4,21,"Han er meget syg, sikkert et maveonde. Han mumler i sin febervildelse, at du    skal unders›ge planeten forsigtigt, da du nu er alene."
"ET HNDTAG",8,21,"Der kan tilsyneladende tr‘kkes i det."
"ET STYKKE BEARBEJDET KLIPPE",43,1,"Det skinner og har form som en cylinder."
"EN STOR GREN",15,2,"Den er jo nok faldet af et tr‘. Den er ca. 2 meter lang og ret lige og solid."
"ET STYKKE BULET METAL",32,4,"Det har engang v‘ret en firkantet plade. Nu er den forvredet og sodet. Der      st†r noget p† : `IES 52', det f›rste er br‘ndt v‘k."
"ET UNDERLIGT SKELET",29,21,"Det er ikke et menneskeskelet! Hovedet er aflangt, armene l‘ngere end benene og rygs›jlen er meget krum."
"EN BULET JERNRING",29,5,"Det ligner en af de ringe, som sad p† dyserne p† gamle rumskibe fra f›r †r 2053."
"EN UNDERLIG BLOMST",30,1,"Den er sort med gr›nne prikker. P† st‘nglen er der torne"
"EN SLAGS REDE",24,21,"z"
"ET GRNT ’G",0,1,"Det er dobbelt s† stort som et h›nse‘g."
"EN K’MPEFUGL",24,21,"Den ligner en drage! Den knurrer svagt."
"EN DD K’MPEFUGL",0,21,"Ja, den er d›d."
